Pasture,Date,Plot,Reading_No,High,Low,Spp,G_B,Screen1,Adj_Low
10S,7/15/2015,1,3,19,4,thfi,g,1,
10S,7/15/2015,1,4,23,2,thfi,g,1,
10S,7/15/2015,1,5,29,6,thfi,g,1,
10S,7/15/2015,1,6,25,4,thfi,g,1,
10S,7/15/2015,1,7,28,6,thfi,g,1,
10S,7/15/2015,1,8,27,7,thfi,g,1,
10S,7/15/2015,1,9,27,7,thfi,g,1,
10S,7/15/2015,1,10,32,9,thfi,g,1,
10S,7/15/2015,1,11,29,8,bogr,g,0,8
10S,7/15/2015,1,12,30,5,thfi,g,1,
10S,7/15/2015,1,13,26,11,oppo,g,1,
10S,7/15/2015,1,14,22,6,arfr,g,1,
10S,7/15/2015,1,15,25,8,thfi,g,1,
10S,7/15/2015,1,16,26,7,thfi,g,1,
10S,7/15/2015,1,17,22,4,thfi,g,1,
10S,7/15/2015,1,18,30,8,thfi,g,1,
10S,7/15/2015,1,19,33,11,thfi,g,1,
10S,7/15/2015,1,20,39,5,bogr,g,0,5
10S,7/15/2015,1,21,24,7,thfi,g,1,
10S,7/15/2015,1,22,28,8,thfi,g,1,
10S,7/15/2015,1,23,21,4,thfi,g,1,
10S,7/15/2015,1,24,20,1,thfi,g,1,
10S,7/15/2015,1,25,26,3,mata,g,0,3
10S,7/15/2015,2,1,15,2,vuoc,b,1,
10S,7/15/2015,2,2,36,9,sihy,g,0,9
10S,7/15/2015,2,3,12,1,bogr,g,0,1
10S,7/15/2015,2,4,19,3,bogr,g,0,3
10S,7/15/2015,2,5,21,3,bogr,g,0,3
10S,7/15/2015,2,6,21,1,bogr,g,0,1
10S,7/15/2015,2,7,26,7,bogr,g,0,7
10S,7/15/2015,2,8,34,9,vuoc,b,1,
10S,7/15/2015,2,9,32,4,bogr,g,0,4
10S,7/15/2015,2,10,19,7,vuoc,b,1,
10S,7/15/2015,2,11,39,7,bogr,b,0,7
10S,7/15/2015,2,12,33,10,arfr,b,1,
10S,7/15/2015,2,13,25,5,bogr,b,0,5
10S,7/15/2015,2,14,24,7,vuoc,g,1,
10S,7/15/2015,2,15,29,9,sihy,b,0,9
10S,7/15/2015,2,16,28,7,sihy,b,0,7
